Trait,TraitDef,trait.name,trait,error/CI,TraitUnit,T,AmbientTempUnit,Location,Latitude,Longitude,Consumer,ConCommon,ConStage,Resource,ResCommon,ResStage,Virus,Citation,FigureTable,Notes
Mortality nymphs,% mortality in immature stages at temperature x,mun,0.125,,,26,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Mortality nymphs,% mortality in immature stages at temperature x,mun,1,,,28,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,0.912,,,8.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,1,,,12.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,1,,,17,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,1,,,22,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,0.96,,,24,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,0.875,,,26,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Proportion nymphs to adulthood,Proportion of nymphs that reached adulthood,pna,0,,,28,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Longevity,Life span at temperature x,lgv,55.2,2,Days,12.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
